story_name,model,tokens,events,scenes,sequels,nones,paragraphs
Chesterton - The Secret Garden,gpt-3.5-turbo,10988,8,8,0,0,152
Chesterton - The Three Tools Of Death,gpt-4o,7227,14,10,3,1,111
Chesterton - The Three Tools Of Death,gpt-3.5-turbo,7285,8,5,3,0,111
Chesterton - The Wrong Shape,gpt-4o,9972,12,6,1,5,155
Chesterton - The Wrong Shape,gpt-3.5-turbo,10045,5,5,0,0,155
Chesterton - The Sign Of the Broken Sword,gpt-4o,9703,44,26,3,15,111
Chesterton - The Sign Of the Broken Sword,gpt-3.5-turbo,9733,7,4,3,0,111
Chesterton - The Invisible Man,gpt-4o,9340,15,7,5,3,124
Chesterton - The Invisible Man,gpt-3.5-turbo,9369,5,3,2,0,124
Elegy,gpt-4o,7653,12,9,3,0,291
Elegy,gpt-3.5-turbo,7720,13,9,4,0,291
Bimmie Says,gpt-4o,4183,12,8,2,2,101
Bimmie Says,gpt-3.5-turbo,4345,16,12,4,0,101
The Happy Clown,gpt-4o,6925,27,18,6,3,96
The Happy Clown,gpt-3.5-turbo,7005,6,4,2,0,96
Brown John's Body,gpt-4o,6091,16,9,3,4,172
Brown John's Body,gpt-3.5-turbo,6202,6,4,2,0,172
The Secret of Kralitz,gpt-4o,3944,14,8,4,2,46
The Secret of Kralitz,gpt-3.5-turbo,3965,6,6,0,0,46
Mutiny in the Void,gpt-4o,7307,15,10,5,0,113
Mutiny in the Void,gpt-3.5-turbo,7399,8,5,3,0,113
The Furious Rose,gpt-4o,6142,34,20,7,7,160
The Furious Rose,gpt-3.5-turbo,6325,8,7,1,0,160
The red fetish,gpt-4o,6396,25,9,6,10,91
The red fetish,gpt-3.5-turbo,6449,7,6,1,0,91
Yankee Gypsies,gpt-4o,8313,14,8,3,3,42
Yankee Gypsies,gpt-3.5-turbo,8398,11,4,7,0,42
The Last Plunge,gpt-4o,7268,97,41,27,29,160
The Last Plunge,gpt-3.5-turbo,7351,11,7,4,0,160
Pioneers,gpt-4o,5970,27,13,6,8,148
Pioneers,gpt-3.5-turbo,6090,10,6,4,0,148
The Gifts of Asti,gpt-4o,8043,34,20,6,8,149
The Gifts of Asti,gpt-3.5-turbo,8043,11,10,1,0,149
"The Intelligence Office (From ""Mosses from an Old Manse"")",gpt-4o,6872,14,6,3,5,60
"The Intelligence Office (From ""Mosses from an Old Manse"")",gpt-3.5-turbo,6917,8,5,1,2,60
Marjorie's Three Gifts,gpt-4o,10547,19,10,5,4,187
Marjorie's Three Gifts,gpt-3.5-turbo,10738,15,8,4,3,187
"The Envoy, Her",gpt-4o,6008,46,28,4,14,183
"The Envoy, Her",gpt-3.5-turbo,5994,7,6,1,0,183
Death Walks on Mars,gpt-4o,5106,30,19,2,9,123
Death Walks on Mars,gpt-3.5-turbo,5174,9,7,2,0,123
The Space Between,gpt-4o,5766,23,13,6,4,119
The Space Between,gpt-3.5-turbo,5837,19,11,8,0,119
The Real Thing,gpt-4o,3071,10,6,3,1,78
The Real Thing,gpt-3.5-turbo,3150,6,4,2,0,78
"Falkland, Book 3.",gpt-4o,9766,46,20,7,19,56
"Falkland, Book 3.",gpt-3.5-turbo,9825,11,8,2,1,56
"Joseph Hergesheimer, an essay in interpretation",gpt-4o,6809,11,1,4,6,61
"Joseph Hergesheimer, an essay in interpretation",gpt-3.5-turbo,6914,9,5,4,0,61
Last Night Out,gpt-4o,7698,26,8,4,14,177
Last Night Out,gpt-3.5-turbo,7799,9,6,3,0,177
The Worlds of Joe Shannon,gpt-4o,5020,22,12,5,5,119
The Worlds of Joe Shannon,gpt-3.5-turbo,5156,9,9,0,0,119
Sales Resistance,gpt-4o,4350,22,8,6,8,157
Sales Resistance,gpt-3.5-turbo,4425,8,8,0,0,157
Common Denominator,gpt-4o,4491,20,11,4,5,81
Common Denominator,gpt-3.5-turbo,4526,8,7,1,0,81
Seller of the Sky,gpt-4o,4086,21,11,4,6,102
Seller of the Sky,gpt-3.5-turbo,4171,5,5,0,0,102
The smart ones,gpt-4o,4900,23,14,6,3,98
The smart ones,gpt-3.5-turbo,5013,17,10,7,0,98
The fire of Asshurbanipal,gpt-4o,12687,54,30,13,11,170
The fire of Asshurbanipal,gpt-3.5-turbo,12800,6,3,3,0,170
Bright Islands,gpt-4o,3205,16,6,3,7,80
Bright Islands,gpt-3.5-turbo,3256,10,7,3,0,80
You'll Like It on Mars,gpt-4o,5036,14,6,5,3,121
You'll Like It on Mars,gpt-3.5-turbo,5194,18,11,7,0,121
F.O.B. Venus,gpt-4o,7287,33,18,8,7,214
F.O.B. Venus,gpt-3.5-turbo,7455,11,8,3,0,214
Satellite of Fear,gpt-4o,8918,29,16,4,9,128
Satellite of Fear,gpt-3.5-turbo,9014,9,7,2,0,128
Remember the 4th!,gpt-4o,6852,15,9,3,3,142
Remember the 4th!,gpt-3.5-turbo,6928,15,10,5,0,142
Restricted Tool,gpt-4o,2863,31,11,6,14,68
Restricted Tool,gpt-3.5-turbo,2888,7,5,2,0,68
"At Pinney's Ranch
1898",gpt-4o,7338,31,15,5,11,55
"At Pinney's Ranch
1898",gpt-3.5-turbo,7411,7,4,3,0,55
Lemorne Versus Huell,gpt-4o,8422,49,30,6,13,251
Lemorne Versus Huell,gpt-3.5-turbo,8455,9,6,3,0,251
Quest on Phoebe,gpt-4o,6288,21,13,5,3,87
Quest on Phoebe,gpt-3.5-turbo,6307,12,8,4,0,87
The celestial blueprint,gpt-4o,10625,13,6,3,4,233
The celestial blueprint,gpt-3.5-turbo,10716,5,5,0,0,233
The Twilight Years,gpt-4o,3432,57,12,8,37,61
The Twilight Years,gpt-3.5-turbo,3508,10,8,2,0,61
"The Spectre In The Cart
1908",gpt-4o,10240,18,10,4,4,124
"The Spectre In The Cart
1908",gpt-3.5-turbo,10251,8,8,0,0,124
Blow the Man Down,gpt-4o,9759,27,13,8,6,242
Blow the Man Down,gpt-3.5-turbo,9940,8,5,3,0,242
The Primus Curse,gpt-4o,7794,35,21,3,11,180
The Primus Curse,gpt-3.5-turbo,7920,8,7,1,0,180
No Strings Attached,gpt-4o,6104,80,28,14,38,84
No Strings Attached,gpt-3.5-turbo,6231,8,6,2,0,84
Imitation of death,gpt-4o,8422,20,15,2,3,122
Imitation of death,gpt-3.5-turbo,8494,13,9,4,0,122
Too close to the forest,gpt-4o,6131,21,10,6,5,104
Too close to the forest,gpt-3.5-turbo,6216,6,4,2,0,104
An enemy of peace,gpt-4o,5659,44,25,6,13,164
An enemy of peace,gpt-3.5-turbo,5738,6,6,0,0,164
Quickie,gpt-4o,6122,19,11,4,4,134
Quickie,gpt-3.5-turbo,6230,6,6,0,0,134
The Klygha,gpt-4o,6769,11,5,5,1,158
The Klygha,gpt-3.5-turbo,6881,11,8,3,0,158
"His Unquiet Ghost
1911",gpt-4o,11233,18,10,6,2,132
"His Unquiet Ghost
1911",gpt-3.5-turbo,11424,9,7,2,0,132
Moon Glow,gpt-4o,2897,16,12,3,1,87
Moon Glow,gpt-3.5-turbo,2959,10,8,2,0,87
The Talkative Tree,gpt-4o,4337,13,11,1,1,119
The Talkative Tree,gpt-3.5-turbo,4392,9,6,2,1,119
"""Le Monsieur de la Petite Dame""",gpt-4o,13509,19,6,4,9,330
"""Le Monsieur de la Petite Dame""",gpt-3.5-turbo,13656,8,8,0,0,330
The Man With the Golden Eyes,gpt-4o,8235,28,12,7,9,334
The Man With the Golden Eyes,gpt-3.5-turbo,8337,9,5,4,0,334
Assassin,gpt-4o,5935,107,89,14,4,129
Assassin,gpt-3.5-turbo,5962,6,5,1,0,129
The Sheriff and His Partner,gpt-4o,9754,203,150,38,15,186
The Sheriff and His Partner,gpt-3.5-turbo,9775,5,5,0,0,186
Kill Me if You Can!,gpt-4o,5687,31,18,4,9,136
Kill Me if You Can!,gpt-3.5-turbo,5765,12,10,2,0,136
"Josiah's Alarm, and Abel Perry's Funeral",gpt-4o,13046,19,14,5,0,294
"Josiah's Alarm, and Abel Perry's Funeral",gpt-3.5-turbo,13207,12,9,3,0,294
"John Bull on the Guadalquivir
From ""Tales from All Countries""",gpt-4o,13257,57,35,10,12,153
"John Bull on the Guadalquivir
From ""Tales from All Countries""",gpt-3.5-turbo,13346,13,7,2,4,153
Buying a Horse,gpt-4o,8814,15,11,4,0,81
Buying a Horse,gpt-3.5-turbo,8893,12,7,5,0,81
"The raid of the guerilla
1911",gpt-4o,12256,17,8,4,5,143
"The raid of the guerilla
1911",gpt-3.5-turbo,12457,4,3,1,0,143
Export Commodity,gpt-4o,6651,18,8,5,5,99
Export Commodity,gpt-3.5-turbo,6701,7,4,3,0,99
Tape Jockey,gpt-4o,3393,51,14,3,34,71
Tape Jockey,gpt-3.5-turbo,3440,5,3,1,1,71
Crisis on Titan,gpt-4o,5802,13,6,3,4,64
Crisis on Titan,gpt-3.5-turbo,5831,8,4,4,0,64
Identity,gpt-4o,5075,58,16,4,38,119
Identity,gpt-3.5-turbo,5199,11,5,3,3,119
"The Christmas Miracle
1911",gpt-4o,7660,11,7,3,1,74
"The Christmas Miracle
1911",gpt-3.5-turbo,7837,7,6,1,0,74
The Rhizoid Kill,gpt-4o,5533,50,32,5,13,68
The Rhizoid Kill,gpt-3.5-turbo,5608,9,7,2,0,68
The Spicy Sound of Success,gpt-4o,7629,12,7,5,0,228
The Spicy Sound of Success,gpt-3.5-turbo,7800,8,6,2,0,228
A Day with William Shakespeare,gpt-4o,9552,17,7,2,8,69
A Day with William Shakespeare,gpt-3.5-turbo,9705,6,6,0,0,69
The Beast-Jewel of Mars,gpt-4o,8219,64,43,9,12,152
The Beast-Jewel of Mars,gpt-3.5-turbo,8234,8,5,3,0,152
An Empty Bottle,gpt-4o,7845,57,25,22,10,201
An Empty Bottle,gpt-3.5-turbo,7961,18,12,5,1,201
"An Old Woman's Tale
(From: ""The Doliver Romance and Other Pieces: Tales and Sketches"")",gpt-4o,4803,9,6,1,2,27
"An Old Woman's Tale
(From: ""The Doliver Romance and Other Pieces: Tales and Sketches"")",gpt-3.5-turbo,4829,8,8,0,0,27
Bramble Bush,gpt-4o,6666,42,30,7,5,159
Bramble Bush,gpt-3.5-turbo,6812,11,7,3,1,159
Don't look now,gpt-4o,6973,95,88,6,1,166
Don't look now,gpt-3.5-turbo,6956,8,4,4,0,166
The voice in the fog,gpt-4o,7030,39,26,8,5,171
The voice in the fog,gpt-3.5-turbo,7162,10,8,2,0,171
The Deep One,gpt-4o,6054,29,13,9,7,124
The Deep One,gpt-3.5-turbo,6112,6,6,0,0,124
Trouble Near the Sun,gpt-4o,6565,14,8,4,2,136
Trouble Near the Sun,gpt-3.5-turbo,6696,13,9,4,0,136
The Ties That Bind,gpt-4o,14418,10,7,3,0,387
The Ties That Bind,gpt-3.5-turbo,14697,9,8,1,0,387
Santa Claus' Message: A Christmas Story,gpt-4o,5275,15,6,2,7,75
Santa Claus' Message: A Christmas Story,gpt-3.5-turbo,5315,7,6,1,0,75
The Spring of a Lion,gpt-4o,8498,10,6,2,2,49
The Spring of a Lion,gpt-3.5-turbo,8551,2,1,1,0,49
"Listen, children ... listen!",gpt-4o,6070,87,37,11,39,121
"Listen, children ... listen!",gpt-3.5-turbo,6174,7,5,2,0,121
The Hunters,gpt-4o,7081,14,8,5,1,237
The Hunters,gpt-3.5-turbo,7239,9,7,2,0,237
"Potts's Painless Cure
1898",gpt-4o,11230,28,11,7,10,145
"Potts's Painless Cure
1898",gpt-3.5-turbo,11348,11,7,4,0,145
The Vegans Were Curious,gpt-4o,5498,47,19,6,22,165
The Vegans Were Curious,gpt-3.5-turbo,5532,8,8,0,0,165
Jaywalker,gpt-4o,6914,26,7,9,10,158
Jaywalker,gpt-3.5-turbo,7042,8,4,4,0,158
"The New Adam and Eve (From ""Mosses from an Old Manse"")",gpt-4o,8998,43,30,4,9,83
"The New Adam and Eve (From ""Mosses from an Old Manse"")",gpt-3.5-turbo,9068,9,9,0,0,83
"The Boatswain's Mate
Captains All, Book 2.",gpt-4o,7053,26,15,4,7,197
"The Boatswain's Mate
Captains All, Book 2.",gpt-3.5-turbo,7316,4,3,1,0,197
"Ajax, for example",gpt-4o,12503,19,8,6,5,433
"Ajax, for example",gpt-3.5-turbo,12584,4,2,2,0,433
The Animated Pinup,gpt-4o,7112,37,22,5,10,195
The Animated Pinup,gpt-3.5-turbo,7317,5,5,0,0,195
Has Anyone Here Seen Kelly?,gpt-4o,4731,11,6,5,0,123
Has Anyone Here Seen Kelly?,gpt-3.5-turbo,4754,8,4,4,0,123
Unbegotten Child,gpt-4o,4251,22,13,6,3,92
Unbegotten Child,gpt-3.5-turbo,4312,8,5,3,0,92
The Lost Ego,gpt-4o,12894,121,58,28,35,295
The Lost Ego,gpt-3.5-turbo,13018,5,5,0,0,295
"The Constable's Move
Captains All, Book 4.",gpt-4o,5915,12,7,2,3,143
"The Constable's Move
Captains All, Book 4.",gpt-3.5-turbo,6001,7,7,0,0,143
The Floater,gpt-4o,6570,81,38,11,32,195
The Floater,gpt-3.5-turbo,6723,8,6,2,0,195
Lost Art,gpt-4o,12579,20,12,5,3,343
Lost Art,gpt-3.5-turbo,12747,10,8,2,0,343
The Good Work,gpt-4o,6126,33,10,11,12,97
The Good Work,gpt-3.5-turbo,6132,11,8,3,0,97
Doorway to Kal-Jmar,gpt-4o,8987,64,40,11,13,173
Doorway to Kal-Jmar,gpt-3.5-turbo,9027,10,8,2,0,173
Aide Memoire,gpt-4o,9220,12,9,3,0,258
Aide Memoire,gpt-3.5-turbo,9352,11,9,2,0,258
Daughters of Doom,gpt-4o,8170,11,8,3,0,185
Daughters of Doom,gpt-3.5-turbo,8231,11,9,2,0,185
Sweet Tooth,gpt-4o,5799,19,14,3,2,110
Sweet Tooth,gpt-3.5-turbo,5881,8,5,3,0,110
Eatin' Crow; and The Best Man in Garotte,gpt-4o,5924,18,8,5,5,77
Eatin' Crow; and The Best Man in Garotte,gpt-3.5-turbo,6030,6,5,1,0,77
"The Adventure of Elizabeth Morey, of New York
1901",gpt-4o,6234,27,15,5,7,60
"The Adventure of Elizabeth Morey, of New York
1901",gpt-3.5-turbo,6249,8,5,3,0,60
The Merchants of Venus,gpt-4o,6809,31,14,7,10,108
The Merchants of Venus,gpt-3.5-turbo,6921,7,4,3,0,108
Conspiracy on Callisto,gpt-4o,11322,72,32,16,24,253
Conspiracy on Callisto,gpt-3.5-turbo,11451,16,8,7,1,253
The Purple Parasol,gpt-4o,14603,28,20,5,3,289
The Purple Parasol,gpt-3.5-turbo,14867,4,3,0,1,289
Mrs. Christy's Bridge Party,gpt-4o,4193,10,4,2,4,95
Mrs. Christy's Bridge Party,gpt-3.5-turbo,4278,9,6,2,1,95
Mary Anonymous,gpt-4o,9333,14,9,3,2,195
Mary Anonymous,gpt-3.5-turbo,9409,11,5,5,1,195
Venus Has Green Eyes,gpt-4o,7803,25,17,3,5,174
Venus Has Green Eyes,gpt-3.5-turbo,7912,14,10,3,1,174
Jekyll-Hyde Planet,gpt-4o,8330,23,9,5,9,267
Jekyll-Hyde Planet,gpt-3.5-turbo,8570,6,6,0,0,267
A Planet for Your Thoughts,gpt-4o,11363,18,14,4,0,271
A Planet for Your Thoughts,gpt-3.5-turbo,11503,16,11,5,0,271
Monsoons of Death,gpt-4o,9341,19,12,7,0,218
Monsoons of Death,gpt-3.5-turbo,9511,9,5,4,0,218
Murderer's chain,gpt-4o,4855,16,10,3,3,68
Murderer's chain,gpt-3.5-turbo,4946,6,4,2,0,68
Cosmic Yo-Yo,gpt-4o,9512,39,28,8,3,168
Cosmic Yo-Yo,gpt-3.5-turbo,9657,9,7,2,0,168
Treasure of Triton,gpt-4o,3786,21,12,5,4,36
Treasure of Triton,gpt-3.5-turbo,3836,5,5,0,0,36
Rat Race,gpt-4o,6830,14,8,3,3,200
Rat Race,gpt-3.5-turbo,6885,11,7,4,0,200
The Sargasso of Space,gpt-4o,12585,27,20,7,0,312
The Sargasso of Space,gpt-3.5-turbo,12745,7,5,2,0,312
The Valley of the Shadow,gpt-4o,8800,31,14,5,12,199
The Valley of the Shadow,gpt-3.5-turbo,8828,7,2,5,0,199
"Psychotennis, Anyone?",gpt-4o,6435,19,12,6,1,129
"Psychotennis, Anyone?",gpt-3.5-turbo,6494,19,12,7,0,129
Electro-episoded in A.D. 2025,gpt-4o,9540,20,13,6,1,106
Electro-episoded in A.D. 2025,gpt-3.5-turbo,9640,4,3,1,0,106
"Monsieur du Miroir (From ""Mosses from an Old Manse"")",gpt-4o,5766,8,3,1,4,15
"Monsieur du Miroir (From ""Mosses from an Old Manse"")",gpt-3.5-turbo,5848,10,7,3,0,15
Citizen Jell,gpt-4o,4207,14,6,2,6,56
Citizen Jell,gpt-3.5-turbo,4230,7,7,0,0,56
Breeder Reaction,gpt-4o,5605,22,14,5,3,134
Breeder Reaction,gpt-3.5-turbo,5718,11,11,0,0,134
"Fiddles
1909",gpt-4o,7315,8,4,3,1,88
"Fiddles
1909",gpt-3.5-turbo,7333,8,5,1,2,88
"""Pig-Headed"" Sailor Men
From ""The Strange Adventure of James Shervinton, and Other Stories"" - 1902",gpt-4o,7148,21,10,5,6,82
"""Pig-Headed"" Sailor Men
From ""The Strange Adventure of James Shervinton, and Other Stories"" - 1902",gpt-3.5-turbo,7210,5,3,2,0,82
"The New Minister's Great Opportunity
First published in the ""Century Magazine""",gpt-4o,6611,10,8,2,0,126
